ticker,company_name,sector,years_observed,start_year,end_year,mean_yoy_shift_cosine,start_to_end_cosine,net_tone_start,net_tone_end,net_tone_delta,flesch_delta,biggest_rising_theme,biggest_rising_delta,biggest_falling_theme,biggest_falling_delta
VLO,Valero Energy,Energy,9,2016,2024,0.0226,0.3153,0.1333,0.3277,0.1944,-8.6,sustainability_environment,0.2843,people_talent,-0.1347
TSLA,Tesla,Consumer Discretionary,9,2016,2024,0.0574,0.3113,0.4074,0.1523,-0.2551,6.3,financial_growth_shareholder,0.259,integrity_ethics,-0.1756
BLK,BlackRock,Financials,9,2016,2024,0.0228,0.1877,-0.3383,-0.0552,0.2831,-2.7,financial_growth_shareholder,0.1221,integrity_ethics,-0.1501
IBM,IBM,Technology,9,2016,2024,0.0154,0.1865,0.6831,0.4877,-0.1954,-5.0,sustainability_environment,0.1697,people_talent,-0.1529
BAC,Bank of America,Financials,9,2016,2024,0.0367,0.1849,-0.3442,-0.0284,0.3158,0.4,financial_growth_shareholder,0.1665,integrity_ethics,-0.1167
AAPL,Apple,Technology,8,2016,2024,0.0299,0.1714,0.1011,0.5051,0.404,-10.5,diversity_inclusion,0.0814,financial_growth_shareholder,-0.2063
BRK.B,Berkshire Hathaway,Financials,9,2016,2024,0.042,0.1505,-0.2941,-0.0435,0.2506,-4.1,sustainability_environment,0.0997,integrity_ethics,-0.195
HAL,Halliburton,Energy,9,2016,2024,0.0253,0.1343,0.4138,0.4828,0.069,-2.4,financial_growth_shareholder,0.1149,integrity_ethics,-0.1267
TJX,TJX Companies,Consumer Discretionary,9,2016,2024,0.0818,0.1318,0.5702,0.3548,-0.2154,-5.4,financial_growth_shareholder,0.1343,diversity_inclusion,-0.1478
WFC,Wells Fargo,Financials,9,2016,2024,0.0261,0.1287,-0.4351,-0.4192,0.0159,-7.8,people_talent,0.0945,integrity_ethics,-0.1296
META,Meta Platforms,Technology,9,2016,2024,0.0313,0.1134,0.3695,-0.0241,-0.3936,-6.1,innovation_technology,0.0928,diversity_inclusion,-0.1087
MSFT,Microsoft,Technology,9,2016,2024,0.018,0.1132,0.5529,0.313,-0.2399,-5.7,innovation_technology,0.0973,financial_growth_shareholder,-0.1542
TMO,Thermo Fisher Scientific,Healthcare,9,2016,2024,0.0196,0.1099,0.6296,0.369,-0.2606,-9.6,financial_growth_shareholder,0.1085,diversity_inclusion,-0.1413
AMZN,Amazon,Consumer Discretionary,9,2016,2024,0.034,0.1084,0.4375,0.1695,-0.268,-10.2,people_talent,0.0517,financial_growth_shareholder,-0.1373
NVDA,NVIDIA,Technology,8,2016,2024,0.0906,0.095,0.4833,0.3625,-0.1208,-1.2,innovation_technology,0.0657,people_talent,-0.1709
SLB,SLB (Schlumberger),Energy,9,2016,2024,0.0214,0.0946,0.4928,0.3862,-0.1066,-5.0,financial_growth_shareholder,0.0937,people_talent,-0.1068
MCD,McDonald's,Consumer Discretionary,8,2016,2024,0.0066,0.0897,0.5294,0.5732,0.0438,-0.4,global_scale_reach,0.0727,financial_growth_shareholder,-0.2091
PSX,Phillips 66,Energy,9,2016,2024,0.0117,0.0815,0.3391,0.2784,-0.0607,-11.3,sustainability_environment,0.1112,financial_growth_shareholder,-0.0926
GOOGL,Alphabet,Technology,9,2016,2024,0.0242,0.0806,0.1954,-0.01,-0.2054,-7.4,integrity_ethics,0.0781,diversity_inclusion,-0.0891
MDT,Medtronic,Healthcare,9,2016,2024,0.0119,0.0799,0.3234,0.2102,-0.1132,-5.6,innovation_technology,0.0441,financial_growth_shareholder,-0.1846
BMY,Bristol-Myers Squibb,Healthcare,9,2016,2024,0.0091,0.0722,0.5838,0.4885,-0.0953,-6.8,diversity_inclusion,0.0687,financial_growth_shareholder,-0.1154
ABBV,AbbVie,Healthcare,9,2016,2024,0.0186,0.0697,0.5398,0.3122,-0.2276,-1.4,innovation_technology,0.0721,financial_growth_shareholder,-0.0994
CRM,Salesforce,Technology,9,2016,2024,0.0295,0.0635,0.6939,0.3579,-0.336,-2.8,financial_growth_shareholder,0.0944,diversity_inclusion,-0.0766
F,Ford Motor,Consumer Discretionary,9,2016,2024,0.0126,0.0621,0.4009,0.1439,-0.257,-2.8,people_talent,0.082,financial_growth_shareholder,-0.0971
MPC,Marathon Petroleum,Energy,9,2016,2024,0.0197,0.0564,0.5789,0.4142,-0.1647,-13.3,innovation_technology,0.0751,financial_growth_shareholder,-0.0737
AVGO,Broadcom,Technology,6,2019,2024,0.0287,0.0563,0.2871,0.3663,0.0792,-2.8,diversity_inclusion,0.062,people_talent,-0.0796
GS,Goldman Sachs,Financials,9,2016,2024,0.0095,0.0542,-0.4182,-0.2916,0.1266,-4.4,sustainability_environment,0.0996,financial_growth_shareholder,-0.0964
NKE,Nike,Consumer Discretionary,9,2016,2024,0.0459,0.054,0.2143,0.2712,0.0569,-11.3,diversity_inclusion,0.0811,people_talent,-0.0731
OXY,Occidental Petroleum,Energy,9,2016,2024,0.0837,0.0536,-0.0769,0.4483,0.5252,-4.8,financial_growth_shareholder,0.0945,diversity_inclusion,-0.0404
TGT,Target,Consumer Discretionary,9,2016,2024,0.0065,0.0528,-0.0071,-0.1587,-0.1516,-5.2,sustainability_environment,0.0953,financial_growth_shareholder,-0.1181
C,Citigroup,Financials,9,2016,2024,0.0067,0.0521,-0.55,-0.367,0.183,-6.1,sustainability_environment,0.0687,financial_growth_shareholder,-0.0816
MS,Morgan Stanley,Financials,9,2016,2024,0.0112,0.0498,-0.262,-0.2607,0.0013,-4.3,sustainability_environment,0.0907,financial_growth_shareholder,-0.0732
SBUX,Starbucks,Consumer Discretionary,8,2016,2023,0.0128,0.0471,0.1754,0.2749,0.0995,-4.5,sustainability_environment,0.0666,financial_growth_shareholder,-0.117
MRK,Merck,Healthcare,9,2016,2024,0.0107,0.0453,0.6146,0.3891,-0.2255,-0.4,diversity_inclusion,0.0392,financial_growth_shareholder,-0.1174
LLY,Eli Lilly,Healthcare,9,2016,2024,0.0108,0.0418,0.4135,0.4213,0.0078,-12.2,innovation_technology,0.0502,financial_growth_shareholder,-0.0674
ORCL,Oracle,Technology,9,2016,2024,0.0242,0.0384,0.2323,-0.006,-0.2383,-3.0,people_talent,0.0544,innovation_technology,-0.0488
PFE,Pfizer,Healthcare,9,2016,2024,0.0123,0.0379,0.4354,0.3156,-0.1198,0.4,people_talent,0.0506,financial_growth_shareholder,-0.0777
JNJ,Johnson & Johnson,Healthcare,9,2016,2024,0.0106,0.0354,0.4382,0.0882,-0.35,-2.3,people_talent,0.0487,financial_growth_shareholder,-0.0687
EOG,EOG Resources,Energy,9,2016,2024,0.014,0.0347,0.1143,0.2041,0.0898,-5.5,sustainability_environment,0.0562,integrity_ethics,-0.067
LOW,Lowe's,Consumer Discretionary,9,2016,2024,0.0177,0.0323,0.34,0.2157,-0.1243,-5.3,sustainability_environment,0.0405,financial_growth_shareholder,-0.0914
INTC,Intel,Technology,9,2016,2024,0.0123,0.0312,0.2917,0.3546,0.0629,-8.0,innovation_technology,0.0529,quality_excellence,-0.0411
CVX,Chevron,Energy,9,2016,2024,0.012,0.0305,0.2,0.3531,0.1531,-5.1,sustainability_environment,0.0551,financial_growth_shareholder,-0.0595
JPM,JPMorgan Chase,Financials,9,2016,2024,0.0165,0.0299,-0.0802,-0.0099,0.0703,-2.9,sustainability_environment,0.0654,global_scale_reach,-0.039
HD,Home Depot,Consumer Discretionary,9,2016,2024,0.0074,0.0284,0.0737,-0.085,-0.1587,-2.8,sustainability_environment,0.0655,financial_growth_shareholder,-0.0677
UNH,UnitedHealth Group,Healthcare,9,2016,2024,0.0073,0.0191,0.3433,0.1067,-0.2366,-10.9,sustainability_environment,0.0437,financial_growth_shareholder,-0.0489
ABT,Abbott Laboratories,Healthcare,9,2016,2024,0.0159,0.0191,0.5758,0.4659,-0.1099,-6.6,sustainability_environment,0.0423,financial_growth_shareholder,-0.065
COP,ConocoPhillips,Energy,9,2016,2024,0.0175,0.0179,0.3088,0.4946,0.1858,-4.2,sustainability_environment,0.0581,financial_growth_shareholder,-0.0366
AXP,American Express,Financials,9,2016,2024,0.0154,0.0169,-0.1724,-0.3043,-0.1319,-2.7,sustainability_environment,0.0376,innovation_technology,-0.0452
SCHW,Charles Schwab,Financials,9,2016,2024,0.036,0.0134,0.0,-0.2717,-0.2717,-7.7,innovation_technology,0.0321,financial_growth_shareholder,-0.0484
XOM,ExxonMobil,Energy,8,2016,2024,0.0237,0.0117,0.2707,0.2254,-0.0453,-5.5,sustainability_environment,0.0214,financial_growth_shareholder,-0.0397
